date,prcp,tobs
2011-01-20,0.027777777777777776,69.0
2011-01-21,0.06666666666666667,72.0
2011-01-22,0.002857142857142857,71.28571428571429
2011-01-23,0.027142857142857142,69.0
2011-01-24,0.007500000000000001,70.375
2011-01-25,0.005555555555555556,64.0
2011-01-26,0.01,65.875
2011-01-27,0.003333333333333333,68.88888888888889
2011-01-28,0.0044444444444444444,71.88888888888889
2011-01-29,0.03666666666666667,68.0
2011-01-30,0.0033333333333333335,66.83333333333333
2011-01-31,0.12285714285714287,65.42857142857143
2011-02-01,0.03125,66.75
2011-02-02,0.00125,68.375
2011-02-03,0.0,67.75
2011-02-04,0.0025,64.0
2011-02-05,0.0,66.5
2011-02-06,0.051666666666666666,73.83333333333333
2011-02-07,1.1466666666666667,67.33333333333333
2011-02-08,0.8712500000000001,69.5
2011-02-09,0.002857142857142857,69.14285714285714
2011-02-10,0.08625,69.25
2011-02-11,0.4575,68.75
2011-02-12,0.9579999999999999,68.6
2011-02-13,0.4183333333333334,70.33333333333333
2011-02-14,0.028333333333333335,68.83333333333333
2011-02-15,0.014444444444444446,69.44444444444444
2011-02-16,0.1575,73.625
2011-02-17,0.030000000000000002,71.71428571428571
2011-02-18,0.0825,74.5
2011-02-19,0.0,72.0
2011-02-20,1.8966666666666665,73.0
2011-02-21,0.004285714285714286,72.57142857142857
2011-02-22,0.15142857142857144,70.85714285714286
2011-02-23,0.023750000000000004,71.375
2011-02-24,1.2512500000000002,67.625
2011-02-25,0.00625,67.0
2011-02-26,0.03833333333333333,72.5
2011-02-27,0.03166666666666667,71.5
2011-02-28,0.0033333333333333335,69.0
2011-03-01,0.0925,67.625
2011-03-02,0.00125,69.375
2011-03-03,0.24875,71.5
2011-03-04,1.16125,71.625
2011-03-05,0.26,68.5
2011-03-06,0.55,72.42857142857143
2011-03-07,0.06166666666666667,72.66666666666667
2011-03-08,0.24000000000000002,70.85714285714286
2011-03-09,0.44125,69.625
2011-03-10,0.8525,70.125
2011-03-11,0.19000000000000003,71.83333333333333
2011-03-12,0.026666666666666672,74.0
2011-03-13,0.0033333333333333335,73.33333333333333
2011-03-14,0.0,68.83333333333333
2011-03-15,0.0,71.33333333333333
2011-03-16,0.0014285714285714286,73.42857142857143
2011-03-17,0.060000000000000005,71.5
2011-03-18,0.06714285714285714,71.42857142857143
2011-03-19,0.1285714285714286,72.28571428571429
2011-03-20,0.2966666666666667,72.16666666666667
